�,date,city,home_team,away_team,home_ft,away_ft,tournament
"1917-06-17,""Kristiania, Norway"",Norway,Denmark,1,2,Friendly"
"1917-07-15,""Vienna, Austria"",Austria,Hungary,1,4,Friendly"
"1917-07-18,""Montevideo, Uruguay"",Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo"
"1917-08-15,""Avellaneda, Argentina"",Argentina,Uruguay,1,0,Copa Lipton"
"1917-08-19,""Helsingborg, Sweden"",Sweden,Norway,3,3,Friendly"
"1917-09-02,""Montevideo, Uruguay"",Uruguay,Argentina,1,0,Copa Newton"
"1917-09-16,""Kristiania, Norway"",Norway,Sweden,0,2,Friendly"
"1917-09-30,""Montevideo, Uruguay"",Uruguay,Chile,4,0,Copa América"
"1917-10-03,""Montevideo, Uruguay"",Argentina,Brazil,4,2,Copa América"
"1917-10-06,""Montevideo, Uruguay"",Argentina,Chile,1,0,Copa América"
"1917-10-07,""Montevideo, Uruguay"",Uruguay,Brazil,4,0,Copa América"
"1917-10-07,""Budapest, Hungary"",Hungary,Austria,2,1,Friendly"
"1917-10-07,""Copenhagen, Denmark"",Denmark,Norway,12,0,Friendly"
"1917-10-12,""Montevideo, Uruguay"",Brazil,Chile,5,0,Copa América"
"1917-10-14,""Montevideo, Uruguay"",Uruguay,Argentina,1,0,Copa América"
"1917-10-14,""Stockholm, Sweden"",Sweden,Denmark,1,2,Friendly"
"1917-10-16,""Montevideo, Uruguay"",Uruguay,Brazil,3,1,Friendly"
"1917-11-04,""Vienna, Austria"",Austria,Hungary,1,2,Friendly"
"1917-12-23,""Basel, Switzerland"",Switzerland,Austria,0,1,Friendly"
"1917-12-26,""Zürich, Switzerland"",Switzerland,Austria,3,2,Friendly"
"1918-04-14,""Budapest, Hungary"",Hungary,Austria,2,0,Friendly"
"1918-05-09,""Vienna, Austria"",Austria,Switzerland,5,1,Friendly"
"1918-05-26,""Stockholm, Sweden"",Sweden,Norway,2,0,Friendly"
